Season,S. No.,Home \ Away,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Position,Played,Won,Draw,Lost,Points,WinRate,LossRate,Performance,team_name_clean,team_name_alias_applied,team_name_original
2016-17,11,Leganés,1–1,0–0,0–0,1–5,0–2,4–0,1–1,0–1,1–0,3–0,,0–0,2–0,4–0,2–4,0–2,2–3,0–2,1–2,0–0,,,17,38,8,11,19,35,0.2105263157894736,0.5,0.3070175438596491,Leganés,False,Leganés
2016-17,12,Málaga,1–2,2–1,0–2,2–0,3–0,4–3,2–1,0–1,1–1,2–1,4–0,,1–1,1–2,0–2,0–2,4–2,3–2,2–0,0–2,,,11,38,12,10,16,46,0.3157894736842105,0.4210526315789473,0.4035087719298245,Málaga,False,Málaga
2016-17,13,Osasuna,0–1,1–2,0–3,0–3,0–0,2–2,1–1,1–2,2–1,2–2,2–1,1–1,,1–2,1–3,0–2,3–4,2–2,3–3,1–4,,,19,38,4,10,24,22,0.1052631578947368,0.631578947368421,0.1929824561403508,Osasuna,False,Osasuna
2016-17,14,Real Betis,1–4,1–0,1–1,1–1,3–3,0–0,2–0,0–1,2–2,2–0,2–0,1–0,2–0,,1–6,2–3,1–2,0–0,0–0,0–1,,,15,38,10,9,19,39,0.2631578947368421,0.5,0.3421052631578947,Real Betis,False,Real Betis
2016-17,15,Real Madrid,3–0,2–1,1–1,2–3,2–1,3–2,1–1,2–0,5–0,3–3,3–0,2–1,5–2,2–1,,3–0,4–1,2–1,2–1,1–1,,,1,38,29,6,3,93,0.7631578947368421,0.0789473684210526,0.8157894736842105,Real Madrid,False,Real Madrid
2016-17,16,Real Sociedad,3–0,0–2,2–0,1–1,1–0,1–0,2–2,1–1,2–1,4–1,1–1,2–2,3–2,1–0,0–3,,0–4,3–1,3–2,0–1,,,6,38,19,7,12,64,0.5,0.3157894736842105,0.5614035087719298,Real Sociedad,False,Real Sociedad
2016-17,17,Sevilla,2–1,1–0,1–0,1–2,2–1,4–2,2–0,6–4,2–0,2–1,1–1,4–1,5–0,1–0,2–1,1–1,,0–0,2–1,0–0,,,4,38,21,9,8,72,0.5526315789473685,0.2105263157894736,0.631578947368421,Sevilla FC,True,Sevilla
2016-17,18,Sporting Gijón,2–4,2–1,1–4,0–5,1–1,0–1,2–3,1–1,3–1,1–0,2–1,0–1,3–1,2–2,2–3,1–3,1–1,,1–2,1–3,,,18,38,7,10,21,31,0.1842105263157894,0.5526315789473685,0.2719298245614035,Sporting de Gijón,True,Sporting Gijón
2016-17,19,Valencia,2–1,2–0,0–2,2–3,3–2,3–0,0–4,2–1,1–1,2–4,1–0,2–2,4–1,2–3,2–1,2–3,0–0,1–1,,1–3,,,12,38,13,7,18,46,0.3421052631578947,0.4736842105263157,0.4035087719298245,Valencia CF,True,Valencia
2016-17,20,Villarreal,0–2,3–1,3–0,1–1,5–0,0–0,2–3,2–0,2–0,2–1,2–1,1–1,3–1,2–0,2–3,2–1,0–0,3–1,0–2,,,,5,38,19,10,9,67,0.5,0.2368421052631578,0.5877192982456141,Villarreal,False,Villarreal
2015-16,1,Athletic Bilbao,,0–1,0–1,2–1,4–1,5–2,2–1,3–1,1–1,2–2,2–0,0–0,1–0,3–1,1–2,0–1,3–1,3–0,3–1,0–0,,,5,38,18,8,12,62,0.4736842105263157,0.3157894736842105,0.543859649122807,Athletic Bilbao,False,Athletic Bilbao
2015-16,2,Atlético Madrid,2–1,,1–2,2–0,3–0,3–1,1–0,2–0,3–0,1–0,1–0,1–0,1–0,5–1,1–1,3–0,0–0,1–0,2–1,0–0,,,3,38,28,4,6,88,0.7368421052631579,0.1578947368421052,0.7719298245614035,Atlético Madrid,False,Atlético Madrid
2015-16,3,Barcelona,6–0,2–1,,6–1,2–2,3–1,5–0,6–0,4–0,2–1,4–1,1–0,5–2,4–0,1–2,4–0,2–1,6–0,1–2,3–0,,,1,38,29,4,5,91,0.7631578947368421,0.131578947368421,0.7982456140350878,FC Barcelona,True,Barcelona
2015-16,4,Celta Vigo,0–1,0–2,4–1,,1–1,3–2,1–0,0–0,2–1,3–3,4–3,1–0,3–0,1–1,1–3,1–0,1–1,2–1,1–5,0–0,,,6,38,17,9,12,60,0.4473684210526316,0.3157894736842105,0.5263157894736842,Celta de Vigo,True,Celta Vigo
2015-16,5,Deportivo La Coruña,2–2,1–1,0–8,2–0,,2–0,3–0,0–2,0–1,1–3,2–1,3–3,2–2,2–2,0–2,0–0,1–1,2–3,1–1,1–2,,,15,38,8,18,12,42,0.2105263157894736,0.3157894736842105,0.3684210526315789,Deportivo La Coruña,False,Deportivo La Coruña
2015-16,6,Eibar,2–0,0–2,0–4,1–1,1–1,,2–1,3–1,5–1,0–1,2–0,1–2,1–0,1–1,0–2,2–1,1–1,2–0,1–1,1–2,,,14,38,11,10,17,43,0.2894736842105263,0.4473684210526316,0.3771929824561403,Eibar,False,Eibar
2015-16,7,Espanyol,2–1,1–3,0–0,1–1,1–0,4–2,,1–0,1–1,1–0,1–1,2–0,2–1,0–3,0–6,0–5,1–0,1–2,1–0,2–2,,,13,38,12,7,19,43,0.3157894736842105,0.5,0.3771929824561403,RCD Espanyol,True,Espanyol
2015-16,8,Getafe,0–1,0–1,0–2,0–1,0–0,1–1,3–1,,1–2,4–0,3–0,1–0,1–1,1–0,1–5,1–1,1–1,1–1,2–2,2–0,,,19,38,9,9,20,36,0.2368421052631578,0.5263157894736842,0.3157894736842105,Getafe,False,Getafe
2015-16,9,Granada,2–0,0–2,0–3,0–2,1–1,1–3,1–1,3–2,,3–2,5–1,0–0,2–2,1–1,1–2,0–3,2–1,2–0,1–2,1–3,,,16,38,10,9,19,39,0.2631578947368421,0.5,0.3421052631578947,Granada,False,Granada
2015-16,10,Las Palmas,0–0,0–3,1–2,2–1,0–2,0–2,4–0,4–0,4–1,,0–0,1–1,0–1,1–0,1–2,2–0,2–0,1–1,2–1,0–0,,,11,38,12,8,18,44,0.3157894736842105,0.4736842105263157,0.3859649122807017,Las Palmas,False,Las Palmas
2015-16,11,Levante,2–2,2–1,0–2,1–2,1–1,2–2,2–1,3–0,1–2,3–2,,0–1,2–1,0–1,1–3,0–4,1–1,0–0,1–0,1–0,,,20,38,8,8,22,32,0.2105263157894736,0.5789473684210527,0.2807017543859649,Levante,False,Levante
2015-16,12,Málaga,0–1,1–0,1–2,2–0,2–0,0–0,1–1,3–0,2–2,4–1,3–1,,1–1,0–1,1–1,3–1,0–0,1–0,1–2,0–1,,,8,38,12,12,14,48,0.3157894736842105,0.3684210526315789,0.4210526315789473,Málaga,False,Málaga
2015-16,13,Rayo Vallecano,0–3,0–2,1–5,3–0,1–3,1–1,3–0,2–0,2–1,2–0,3–1,1–2,,0–2,2–3,2–2,2–2,2–1,0–0,2–1,,,18,38,9,11,18,38,0.2368421052631578,0.4736842105263157,0.3333333333333333,Rayo Vallecano,False,Rayo Vallecano
2015-16,14,Real Betis,1–3,0–1,0–2,1–1,1–2,0–4,1–3,2–1,2–0,1–0,1–0,0–1,2–2,,1–1,1–0,0–0,1–1,1–0,1–1,,,10,38,11,12,15,45,0.2894736842105263,0.3947368421052631,0.3947368421052631,Real Betis,False,Real Betis
2015-16,15,Real Madrid,4–2,0–1,0–4,7–1,5–0,4–0,6–0,4–1,1–0,3–1,3–0,0–0,10–2,5–0,,3–1,4–0,5–1,3–2,3–0,,,2,38,28,6,4,90,0.7368421052631579,0.1052631578947368,0.7894736842105263,Real Madrid,False,Real Madrid
2015-16,16,Real Sociedad,0–0,0–2,1–0,2–3,1–1,2–1,2–3,1–2,3–0,0–1,1–1,1–1,2–1,2–1,0–1,,2–0,0–0,2–0,0–2,,,9,38,13,9,16,48,0.3421052631578947,0.4210526315789473,0.4210526315789473,Real Sociedad,False,Real Sociedad
2015-16,17,Sevilla,2–0,0–3,2–1,1–2,1–1,1–0,2–0,5–0,1–4,2–0,3–1,2–1,3–2,2–0,3–2,1–2,,2–0,1–0,4–2,,,7,38,14,10,14,52,0.3684210526315789,0.3684210526315789,0.4561403508771929,Sevilla FC,True,Sevilla
2015-16,18,Sporting Gijón,0–2,2–1,1–3,0–1,1–1,2–0,2–4,1–2,3–3,3–1,0–3,1–0,2–2,1–2,0–0,5–1,2–1,,0–1,2–0,,,17,38,10,9,19,39,0.2631578947368421,0.5,0.3421052631578947,Sporting de Gijón,True,Sporting Gijón
2015-16,19,Valencia,0–3,1–3,1–1,0–2,1–1,4–0,2–1,2–2,1–0,1–1,3–0,3–0,2–2,0–0,2–2,0–1,2–1,0–1,,0–2,,,12,38,11,11,16,44,0.2894736842105263,0.4210526315789473,0.3859649122807017,Valencia CF,True,Valencia
2015-16,20,Villarreal,3–1,1–0,2–2,1–2,0–2,1–1,3–1,2–0,1–0,0–1,3–0,1–0,2–1,0–0,1–0,0–0,2–1,2–0,1–0,,,,4,38,18,10,10,64,0.4736842105263157,0.2631578947368421,0.5614035087719298,Villarreal,False,Villarreal
2014-15,1,Almería,,0–1,0–1,1–2,2–2,1–1,0–0,2–0,2–2,1–1,1–0,3–0,1–4,1–2,0–1,1–4,2–2,0–2,2–3,0–0,,,19,38,8,8,22,32,0.2105263157894736,0.5789473684210527,0.2807017543859649,Almería,False,Almería
2014-15,2,Athletic Bilbao,2–1,,1–4,2–5,1–1,0–1,1–1,0–0,1–2,3–1,4–0,0–1,3–0,1–1,1–0,1–0,1–1,1–0,1–1,4–0,,,7,38,15,10,13,55,0.3947368421052631,0.3421052631578947,0.4824561403508772,Athletic Bilbao,False,Athletic Bilbao
2014-15,3,Atlético Madrid,3–0,0–0,,0–1,2–2,4–2,2–0,2–1,3–0,2–0,2–0,2–0,3–1,3–1,3–1,4–0,2–0,4–0,1–1,0–1,,,3,38,23,9,6,78,0.6052631578947368,0.1578947368421052,0.6842105263157895,Atlético Madrid,False,Atlético Madrid
2014-15,4,Barcelona,4–0,2–0,3–1,,0–1,5–0,2–2,3–0,3–0,5–1,6–0,6–0,5–0,0–1,6–1,2–1,2–0,5–1,2–0,3–2,,,1,38,30,4,4,94,0.7894736842105263,0.1052631578947368,0.8245614035087719,FC Barcelona,True,Barcelona
2014-15,5,Celta Vigo,0–1,1–2,2–0,0–1,,1–0,2–1,0–1,1–1,3–2,3–1,0–0,3–0,1–0,6–1,2–4,2–2,1–1,1–1,1–3,,,8,38,13,12,13,51,0.3421052631578947,0.3421052631578947,0.4473684210526316,Celta de Vigo,True,Celta Vigo
2014-15,6,Córdoba,1–2,0–1,0–2,0–8,1–1,,0–0,1–1,0–2,0–0,1–2,2–0,0–0,1–2,1–2,1–2,1–1,1–3,1–2,0–2,,,20,38,3,11,24,20,0.0789473684210526,0.631578947368421,0.175438596491228,Córdoba,False,Córdoba
2014-15,7,Deportivo La Coruña,0–1,1–0,1–2,0–4,0–2,1–1,,2–0,1–0,0–0,1–2,2–2,2–0,0–1,2–2,2–8,0–0,3–4,3–0,1–1,,,16,38,7,14,17,35,0.1842105263157894,0.4473684210526316,0.3070175438596491,Deportivo La Coruña,False,Deportivo La Coruña
2014-15,8,Eibar,5–2,0–1,1–3,0–2,0–1,3–0,0–1,,0–1,0–2,2–1,1–1,3–3,1–0,1–2,0–4,1–0,1–3,0–1,1–1,,,18,38,9,8,21,35,0.2368421052631578,0.5526315789473685,0.3070175438596491,Eibar,False,Eibar
2014-15,9,Elche,1–0,2–3,0–2,0–6,0–1,2–2,4–0,0–2,,2–1,0–1,1–1,1–0,1–2,2–0,0–2,1–0,0–2,0–4,2–2,,,13,38,11,8,19,41,0.2894736842105263,0.5,0.3596491228070175,Elche,False,Elche
2014-15,10,Espanyol,3–0,1–0,0–0,0–2,1–0,1–0,0–0,1–2,1–1,,2–0,2–1,2–1,2–2,1–1,1–4,2–0,1–2,1–2,1–1,,,10,38,13,10,15,49,0.3421052631578947,0.3947368421052631,0.4298245614035088,RCD Espanyol,True,Espanyol
