Season,S. No.,Home \ Away,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Position,Played,Won,Draw,Lost,Points,WinRate,LossRate,Performance
1951-52,12,Real Sociedad,1–4,6–1,1–0,4–2,4–1,7–1,3–0,3–0,1–2,3–1,1–1,,3–3,1–2,3–1,2–0,,,,,,,10,30,11,4,15,37,0.36666666666666664,0.5,0.4111111111111111
1951-52,13,Sevilla,2–0,3–1,3–2,3–0,3–1,2–0,3–2,5–0,3–3,4–1,5–0,2–2,,6–1,4–1,2–1,,,,,,,6,30,14,4,12,46,0.4666666666666667,0.4,0.5111111111111111
1951-52,14,Valencia,2–3,3–0,5–1,2–2,7–2,3–0,4–1,3–0,3–0,2–1,1–1,4–0,2–0,,3–0,2–2,,,,,,,5,30,15,5,10,50,0.5,0.3333333333333333,0.5555555555555556
1951-52,15,Valladolid,2–2,1–1,3–0,1–1,3–0,5–0,1–3,4–1,4–1,2–1,1–1,4–1,2–1,1–2,,1–0,,,,,,,8,30,9,11,10,38,0.3,0.3333333333333333,0.4222222222222222
1951-52,16,Zaragoza,2–4,0–5,3–1,2–4,3–2,1–1,5–6,6–0,2–1,1–1,1–0,3–2,3–0,4–2,2–1,,,,,,,,12,30,10,5,15,35,0.3333333333333333,0.5,0.3888888888888889
1950-51,1,Alcoyano,,0–1,1–2,0–1,2–1,0–2,0–1,4–1,6–2,1–0,3–3,2–1,1–4,1–1,0–2,1–4,,,,,,,15,30,6,2,22,20,0.2,0.7333333333333333,0.2222222222222222
1950-51,2,Atlético Bilbao,8–1,,4–0,4–3,3–1,9–4,1–1,4–2,10–0,5–1,3–1,2–5,7–1,3–0,4–1,1–1,,,,,,,7,30,15,3,12,48,0.5,0.4,0.5333333333333333
1950-51,3,Atlético Madrid,5–1,2–0,,6–4,3–0,3–2,5–2,1–1,7–1,2–2,9–1,4–0,2–2,2–1,3–1,7–0,,,,,,,1,30,17,6,7,57,0.5666666666666667,0.23333333333333334,0.6333333333333333
1950-51,4,Barcelona,6–0,2–1,3–0,,7–2,3–1,2–2,4–1,6–1,2–1,2–1,7–2,8–2,4–1,2–1,3–1,,,,,,,4,30,16,3,11,51,0.5333333333333333,0.36666666666666664,0.5666666666666667
1950-51,5,Málaga,2–0,2–1,2–1,3–1,,1–2,4–2,2–0,9–0,0–0,2–0,3–0,4–1,2–0,0–2,0–0,,,,,,,8,30,15,3,12,48,0.5,0.4,0.5333333333333333
